1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,1,1,0,2,0,1,1,0,2,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0
1,0,1,0,0,1,1,1,2,0,2,1,1,2,1,2,2,1,2,1,1,2,0,2,1,1,1,0,0,1,0
1,0,1,1,0,2,1,1,3,1,3,3,1,4,2,3,4,2,4,3,2,4,1,3,3,1,3,1,1,2,0
1,0,1,1,0,2,1,2,3,2,4,3,3,5,3,6,5,5,7,4,6,6,4,7,5,5,6,3,5,3,3
1,1,1,2,1,2,3,3,5,5,6,7,6,8,8,9,11,10,12,11,10,12,10,11,12,10,11,9,8,8,6
1,1,1,2,1,2,3,3,5,6,7,8,8,9,10,12,14,15,17,17,17,18,18,19,21,21,21,21,19,18,18
1,1,1,2,2,3,4,5,6,8,10,11,13,15,17,20,22,24,27,29,31,33,35,36,38,39,39,40,40,39,39
